Generated graph edges:
Edge 0 -> 1
Edge 0 -> 2
Edge 0 -> 6
Edge 0 -> 8
Edge 0 -> 9
Edge 0 -> 10
Edge 0 -> 13
Edge 0 -> 14
Edge 0 -> 15
Edge 0 -> 22
Edge 0 -> 23
Edge 0 -> 24
Edge 0 -> 25
Edge 0 -> 26
Edge 0 -> 27
Edge 0 -> 28
Edge 0 -> 29
Edge 0 -> 30
Edge 0 -> 31
Edge 0 -> 32
Edge 0 -> 35
Edge 0 -> 38
Edge 1 -> 3
Edge 1 -> 7
Edge 1 -> 8
Edge 1 -> 10
Edge 1 -> 11
Edge 1 -> 12
Edge 1 -> 13
Edge 1 -> 14
Edge 1 -> 15
Edge 1 -> 17
Edge 1 -> 18
Edge 1 -> 19
Edge 1 -> 20
Edge 1 -> 21
Edge 1 -> 22
Edge 1 -> 24
Edge 1 -> 25
Edge 1 -> 27
Edge 1 -> 28
Edge 1 -> 29
Edge 1 -> 30
Edge 1 -> 31
Edge 1 -> 32
Edge 1 -> 33
Edge 1 -> 35
Edge 1 -> 36
Edge 1 -> 37
Edge 1 -> 39
Edge 2 -> 3
Edge 2 -> 4
Edge 2 -> 7
Edge 2 -> 8
Edge 2 -> 9
Edge 2 -> 12
Edge 2 -> 13
Edge 2 -> 14
Edge 2 -> 15
Edge 2 -> 16
Edge 2 -> 17
Edge 2 -> 18
Edge 2 -> 19
Edge 2 -> 20
Edge 2 -> 21
Edge 2 -> 22
Edge 2 -> 24
Edge 2 -> 27
Edge 2 -> 29
Edge 2 -> 30
Edge 2 -> 31
Edge 2 -> 33
Edge 2 -> 34
Edge 2 -> 36
Edge 2 -> 38
Edge 2 -> 39
Edge 3 -> 4
Edge 3 -> 6
Edge 3 -> 7
Edge 3 -> 9
Edge 3 -> 10
Edge 3 -> 12
Edge 3 -> 13
Edge 3 -> 14
Edge 3 -> 15
Edge 3 -> 16
Edge 3 -> 17
Edge 3 -> 18
Edge 3 -> 19
Edge 3 -> 21
Edge 3 -> 22
Edge 3 -> 23
Edge 3 -> 24
Edge 3 -> 26
Edge 3 -> 27
Edge 3 -> 28
Edge 3 -> 31
Edge 3 -> 32
Edge 3 -> 33
Edge 3 -> 34
Edge 3 -> 35
Edge 3 -> 38
Edge 4 -> 5
Edge 4 -> 6
Edge 4 -> 7
Edge 4 -> 8
Edge 4 -> 9
Edge 4 -> 11
Edge 4 -> 12
Edge 4 -> 13
Edge 4 -> 14
Edge 4 -> 15
Edge 4 -> 17
Edge 4 -> 19
Edge 4 -> 20
Edge 4 -> 21
Edge 4 -> 22
Edge 4 -> 23
Edge 4 -> 25
Edge 4 -> 27
Edge 4 -> 28
Edge 4 -> 29
Edge 4 -> 30
Edge 4 -> 31
Edge 4 -> 32
Edge 4 -> 33
Edge 4 -> 35
Edge 4 -> 38
Edge 4 -> 39
Edge 5 -> 8
Edge 5 -> 9
Edge 5 -> 10
Edge 5 -> 11
Edge 5 -> 12
Edge 5 -> 16
Edge 5 -> 17
Edge 5 -> 18
Edge 5 -> 22
Edge 5 -> 24
Edge 5 -> 25
Edge 5 -> 26
Edge 5 -> 28
Edge 5 -> 34
Edge 5 -> 36
Edge 5 -> 37
Edge 5 -> 38
Edge 5 -> 39
Edge 6 -> 7
Edge 6 -> 9
Edge 6 -> 10
Edge 6 -> 11
Edge 6 -> 12
Edge 6 -> 13
Edge 6 -> 14
Edge 6 -> 15
Edge 6 -> 17
Edge 6 -> 18
Edge 6 -> 20
Edge 6 -> 22
Edge 6 -> 23
Edge 6 -> 26
Edge 6 -> 27
Edge 6 -> 28
Edge 6 -> 29
Edge 6 -> 30
Edge 6 -> 33
Edge 6 -> 36
Edge 6 -> 37
Edge 7 -> 8
Edge 7 -> 9
Edge 7 -> 12
Edge 7 -> 14
Edge 7 -> 15
Edge 7 -> 17
Edge 7 -> 18
Edge 7 -> 19
Edge 7 -> 20
Edge 7 -> 23
Edge 7 -> 24
Edge 7 -> 26
Edge 7 -> 27
Edge 7 -> 32
Edge 7 -> 33
Edge 7 -> 34
Edge 7 -> 35
Edge 7 -> 37
Edge 7 -> 38
Edge 8 -> 10
Edge 8 -> 12
Edge 8 -> 13
Edge 8 -> 14
Edge 8 -> 15
Edge 8 -> 17
Edge 8 -> 18
Edge 8 -> 19
Edge 8 -> 20
Edge 8 -> 21
Edge 8 -> 23
Edge 8 -> 25
Edge 8 -> 27
Edge 8 -> 30
Edge 8 -> 31
Edge 8 -> 35
Edge 8 -> 37
Edge 8 -> 38
Edge 9 -> 10
Edge 9 -> 11
Edge 9 -> 13
Edge 9 -> 14
Edge 9 -> 15
Edge 9 -> 16
Edge 9 -> 17
Edge 9 -> 19
Edge 9 -> 20
Edge 9 -> 21
Edge 9 -> 24
Edge 9 -> 25
Edge 9 -> 26
Edge 9 -> 27
Edge 9 -> 29
Edge 9 -> 31
Edge 9 -> 33
Edge 9 -> 34
Edge 9 -> 37
Edge 9 -> 39
Edge 10 -> 11
Edge 10 -> 12
Edge 10 -> 15
Edge 10 -> 16
Edge 10 -> 17
Edge 10 -> 18
Edge 10 -> 19
Edge 10 -> 20
Edge 10 -> 21
Edge 10 -> 22
Edge 10 -> 24
Edge 10 -> 25
Edge 10 -> 28
Edge 10 -> 29
Edge 10 -> 32
Edge 10 -> 33
Edge 10 -> 34
Edge 10 -> 35
Edge 10 -> 38
Edge 11 -> 12
Edge 11 -> 13
Edge 11 -> 15
Edge 11 -> 16
Edge 11 -> 20
Edge 11 -> 21
Edge 11 -> 22
Edge 11 -> 24
Edge 11 -> 25
Edge 11 -> 27
Edge 11 -> 28
Edge 11 -> 30
Edge 11 -> 31
Edge 11 -> 32
Edge 11 -> 35
Edge 11 -> 36
Edge 11 -> 38
Edge 11 -> 39
Edge 12 -> 13
Edge 12 -> 14
Edge 12 -> 15
Edge 12 -> 16
Edge 12 -> 18
Edge 12 -> 19
Edge 12 -> 20
Edge 12 -> 21
Edge 12 -> 24
Edge 12 -> 25
Edge 12 -> 29
Edge 12 -> 31
Edge 12 -> 32
Edge 12 -> 33
Edge 12 -> 34
Edge 12 -> 35
Edge 12 -> 36
Edge 12 -> 37
Edge 12 -> 38
Edge 12 -> 39
Edge 13 -> 14
Edge 13 -> 15
